date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-06-27,255.0,240406.5,30.0,34708.0,29721.0,3198837.0,4.217537054949777,0.49618082999409147,491.5663482751464
2020-06-28,175.0,240581.5,8.0,34716.0,21183.0,3220020.0,2.894388174965534,0.1323148879984244,350.35328405882797
2020-06-29,174.0,240755.5,22.0,34738.0,15484.0,3235504.0,2.8778488139657306,0.3638659419956671,256.0954657209504
2020-06-30,126.0,240881.5,6.0,34744.0,28471.0,3263975.0,2.083959485975184,0.0992361659988183,470.8921470253926
2020-07-01,142.0,241023.5,23.0,34767.0,29325.0,3293300.0,2.348589261972033,0.38040530299547015,485.01676131922443
2020-07-02,182.0,241205.5,21.0,34788.0,29147.0,3322447.0,3.010163701964155,0.34732658099586405,482.0727550612595
2020-07-03,201.0,241406.5,30.0,34818.0,25680.0,3348127.0,3.324411560960413,0.49618082999409147,424.7307904749423
2020-07-04,223.0,241629.5,15.0,34833.0,28946.0,3377073.0,3.68827750295608,0.24809041499704573,478.7483435002991
2020-07-05,235.0,241864.5,21.0,34854.0,21166.0,3398239.0,3.8867498349537164,0.34732658099586405,350.0721149218313
2020-07-06,192.0,242056.5,7.0,34861.0,13771.0,3412010.0,3.1755573119621854,0.11577552699862134,227.7635403282878
2020-07-07,208.0,242264.5,8.0,34869.0,22490.0,3434500.0,3.440187087959034,0.1323148879984244,371.9702288855706
2020-07-08,137.0,242401.5,30.0,34899.0,28679.0,3463179.0,2.2658924569730177,0.49618082999409147,474.33233411335164
2020-07-09,193.0,242594.5,15.0,34914.0,29947.0,3493126.0,3.1920966729619886,0.24809041499704573,495.3042438611019
2020-07-10,214.0,242808.5,12.0,34926.0,27251.0,3520377.0,3.5394232539578527,0.1984723319976366,450.7141266056329
2020-07-11,276.0,243084.5,12.0,34938.0,25449.0,3545826.0,4.564863635945642,0.1984723319976366,420.9101980839878
2020-07-12,188.0,243272.5,7.0,34945.0,23061.0,3568887.0,3.1093998679629733,0.11577552699862134,381.41420401645814
2020-07-13,234.0,243506.5,9.0,34954.0,14006.0,3582893.0,3.8702104739539136,0.14885424899822744,231.65029016324152
2020-07-14,169.0,243675.5,13.0,34967.0,24222.0,3607115.0,2.7951520089667152,0.21501169299743964,400.61640213722944
2020-07-15,114.0,243789.5,17.0,34984.0,28392.0,3635507.0,1.8854871539775475,0.28116913699665186,469.5855375064082
2020-07-16,162.0,243951.5,13.0,34997.0,28089.0,3663596.0,2.679376481968094,0.21501169299743964,464.57411112346784
2020-07-17,230.0,244181.5,20.0,35017.0,28661.0,3692257.0,3.8040530299547015,0.330787219996061,474.0346256153552
2020-07-18,231.0,244412.5,11.0,35028.0,27569.0,3719826.0,3.8205923909545043,0.18193297099783354,455.9736434035703
2020-07-19,249.0,244661.5,14.0,35042.0,20621.0,3740447.0,4.11830088895096,0.23155105399724268,341.0581631769387
2020-07-20,218.0,244879.5,3.0,35045.0,14121.0,3754568.0,3.605580697957065,0.04961808299940915,233.55231667821886
2020-07-21,190.0,245069.5,13.0,35058.0,23915.0,3778483.0,3.1424785899625793,0.21501169299743964,395.5388183102899
2020-07-22,128.0,245197.5,15.0,35073.0,29288.0,3807771.0,2.1170382079747903,0.24809041499704573,484.4048049622317
2020-07-23,280.0,245477.5,9.0,35082.0,33018.0,3840789.0,4.631021079944854,0.14885424899822744,546.0966214914971
2020-07-24,306.0,245783.5,10.0,35092.0,28970.0,3869759.0,5.061044465939733,0.1653936099980305,479.14528816429436
